model_name,organization,parameters_b,average_score,benchmark_ifeval,benchmark_bbh,benchmark_math_lvl5,benchmark_gpqa,benchmark_musr,benchmark_mmlu_pro,license,release_date,co2_cost_kg,model_type
DreadPoor/Rusted_Gold-8B-LINEAR,DreadPoor,8.03,29.318843902928162,72.96240641497891,34.12086145705898,19.335347432024168,6.487695749440718,12.118749999999999,30.888002364066192,,2025-03-07,0.5831037946767536,🤝 base merges and moerges
DreadPoor/Rusted_Platinum-8B-LINEAR,DreadPoor,8.03,27.83034980109748,71.7983838437568,34.78573450204923,17.220543806646525,4.026845637583895,8.816666666666663,30.33392434988179,,2025-03-06,0.6016343137475283,🤝 base merges and moerges
DreadPoor/Rusted_Platinum-8B-Model_Stock,DreadPoor,8.03,20.303818181145747,44.078821970150315,32.36931288487491,10.196374622356496,2.460850111856823,4.424479166666667,28.29307033096927,,,0.6156083073986824,🤝 base merges and moerges
DreadPoor/Sellen-8B-model_stock,DreadPoor,8.03,26.387643367541383,71.1289378848123,31.3609793143707,13.36858006042296,3.243847874720355,10.671874999999995,28.551640070921984,,,1.614941045520685,🤝 base merges and moerges
DreadPoor/Something-8B-Model_Stock,DreadPoor,8.03,25.93310010934314,50.43107842746136,34.539896807500135,17.97583081570997,8.948545861297541,11.642447916666667,32.06080082742317,,,1.5553240142927571,🤝 base merges and moerges
DreadPoor/Spring_Dusk-8B-SCE,DreadPoor,8.03,26.661455778534272,65.14636719459922,37.76481840522523,7.628398791540786,5.033557046979867,17.33072916666666,27.06486406619385,,2025-02-02,1.4256880940800347,🤝 base merges and moerges
DreadPoor/Summer_Dawn-8B-SCE,DreadPoor,8.03,27.707526796543544,66.42032030567782,34.62851818112923,17.220543806646525,6.711409395973152,10.671874999999995,30.592494089834517,,,1.281365469197718,🤝 base merges and moerges
DreadPoor/Summer_Dusk-8B-TIES,DreadPoor,8.03,25.70113735165475,49.22206412319312,33.83081371910365,18.051359516616312,7.606263982102905,13.76796875,31.728354018912537,,,1.3505131314656516,🤝 base merges and moerges
DreadPoor/Summer_Rain-8B-SCE,DreadPoor,8.03,25.516588284918253,54.59259210007225,40.61854240395792,7.02416918429003,7.158836689038028,15.366145833333333,28.33924349881796,,,1.417925622177407,🤝 base merges and moerges
DreadPoor/Summer_Rain-8B-TIES,DreadPoor,8.03,25.49119270489429,54.44021861992846,40.61854240395792,7.02416918429003,7.158836689038028,15.366145833333333,28.33924349881796,,,1.4687409513265564,🤝 base merges and moerges
DreadPoor/Sun-8B-Model_Stock,DreadPoor,8.03,30.080714550686338,77.58358932077998,32.954595045665,20.996978851963746,6.599552572706939,10.852083333333333,31.49748817966903,,,1.3758434175655363,🤝 base merges and moerges
DreadPoor/Sweetened_Condensed_Milk-8B-Model_Stock,DreadPoor,8.03,29.56115847933121,74.17142071924715,34.670888066076664,18.731117824773413,7.046979865771815,11.10130208333333,31.645242316784866,,,1.3313386343071156,🤝 base merges and moerges
DreadPoor/TEST02-Ignore,DreadPoor,8.03,24.97786899148115,61.18964347930159,37.13218783602701,8.685800604229607,4.5861297539149914,10.848437500000003,27.425014775413715,,,1.445361409314325,🤝 base merges and moerges
DreadPoor/TEST03-ignore,DreadPoor,8.03,28.440777656618568,69.67014189018471,34.38735467240193,16.540785498489427,7.829977628635347,11.226822916666665,30.989583333333336,,,1.9057666825537358,🤝 base merges and moerges
DreadPoor/TEST06-ignore,DreadPoor,8.03,27.721454908565875,73.22969720342026,35.92411184894727,11.782477341389729,4.921700223713646,11.411197916666667,29.05954491725768,,,2.1041045761762494,🤝 base merges and moerges
DreadPoor/TEST07-ignore,DreadPoor,8.03,29.498717642655507,73.99655137258031,36.88142926288663,16.61631419939577,7.829977628635347,9.671875000000005,31.99615839243498,,,1.3740561440519077,🤝 base merges and moerges
DreadPoor/TEST08-ignore,DreadPoor,8.03,29.66477204531803,74.66599733152479,35.35061865878467,18.202416918429005,8.389261744966444,9.679687499999998,31.700650118203306,,,1.37025617734741,🤝 base merges and moerges
